tran_dt,sender,receiver,amount,sender_prev_bal
2023-10-20,2301805351,1532644469,147.66,1295.2
2023-06-04,3703962220,2349736332,89.77,9479.55
2023-02-07,1529943053,3465910025,133.8,6677.19
2023-06-13,2555233206,7707731783,1251.02,4546.55
2023-08-03,1761232323,4532052055,55.01,6418.36
2023-03-19,7273235391,8238119329,67.51,5356.93
2023-11-16,1761527270,1017020714,355.69,5278.91
2023-07-25,9352634039,9147465775,176.55,9779.32
2023-02-16,6202838211,9152851286,138.92,2704.92
2023-05-07,2145863469,2358461503,175.32,8909.63
2023-04-22,3300797449,7942133241,102.73,8132.79
2023-02-11,4816298404,6663018135,359.16,719.87
2023-10-03,2635360492,4588043007,341.33,4097.5
2023-09-11,4606857351,6052123838,447.81,4989.51
2023-07-31,9010637497,3190273985,150.28,580.77
2023-11-26,7403172893,9461411256,84.64,5187.19
2023-03-11,6827753864,1754387842,163.8,9140.87
2023-01-11,8254663660,4835935943,296.87,4035.16
2023-04-06,8032535589,6237789247,285.07,3127.2
2023-08-19,7063064307,5440043103,188.38,1119.88
2023-02-01,1068377549,9390548519,13.99,8997.84
2023-10-21,4345401597,2340864445,321.8,902.27
2023-09-06,7320521806,9292724298,1468.99,5101.78
2023-05-13,6331808265,1913317016,438.44,1869.64
2023-08-23,6954377166,3419177052,37.97,7847.56
2023-12-20,6762381230,3191351720,319.22,8584.96
2023-12-18,7666501843,4610887786,276.06,3204.19
2023-04-27,9306902494,7053544008,277.84,2202.16
2023-04-28,3257062005,9609678198,503.35,8270.12
2023-01-05,5957441946,2902853837,223.34,9015.33
2023-08-14,2507098120,7468180940,240.04,3158.54
2023-12-14,5029258738,1517606468,447.09,9257.57
2023-11-30,3224534149,8384981854,329.01,2468.84
2023-03-29,7019049608,7948458933,240.1,9789.39
2023-03-19,8056183846,1955909855,93.76,7189.67
2023-03-12,2828220653,6477185978,83.52,8998.25
2023-07-10,2527655254,5243053659,1.62,781.45
2023-08-04,5294433105,1498521782,342.85,5229.16
2023-12-28,9342344505,8509306440,415.9,7105.92
2023-04-07,8308144630,9629022101,400.56,5913.96
2023-10-22,8024648080,5243053659,280.06,9948.66
2023-01-04,1396540614,6870119413,239.95,2792.31
2023-03-04,2904504206,4149159127,499.66,6859.81
2023-01-11,7582855459,1815541762,479.84,9598.73
2023-01-18,5809281990,6337639775,128.46,8015.9
2023-10-27,5966382984,6490516141,233.86,8243.62
2023-07-18,2555233206,3630567726,226.95,1242.3
2023-02-25,2097749932,8476512870,1104.99,9982.0
2023-02-21,2449376974,4832021542,473.46,5633.94
2023-11-21,3245284523,9066022021,216.13,4525.15
2023-10-02,1529943053,8293282371,15.67,8327.6
2023-04-16,5535125923,1325958156,241.21,7946.83
2023-07-05,9107902912,6527612750,59.28,5893.48
2023-03-27,4521904419,2447658099,422.84,4957.55
2023-05-29,7788087086,1603595012,457.77,2592.21
2023-06-07,5620527566,8280290626,487.76,655.51
2023-05-05,1068377549,1921855975,24.01,7952.32
2023-03-02,6631218396,3126574440,228.71,6567.47
2023-02-04,2911815832,7942133241,316.61,6945.19
2023-01-08,8548635822,5319136771,66.65,6744.98
2023-08-06,6331808265,6596816037,478.78,1126.69
2023-02-14,2256517542,6284186311,56.53,3003.29
2023-09-19,1079948278,8637472815,138.09,3267.09
2023-09-17,5886439919,7992389713,450.69,667.23
2023-11-10,7601334917,8774854822,345.76,6842.66
2023-08-26,7329440465,8280290626,97.17,8668.4
